population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2018,7248159.77827601,7772609.651392511,6717503.746243025
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2018,0.0012801423163402,0.0014121379057126,0.0011619658392859
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2018,527.39959066722,565.56026273685,488.78733836587
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2017,9633098.641895223,10341982.932456814,8859861.840261232
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2017,0.0016972463372085,0.0018824923671917,0.0015391956762886
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2017,709.32065454885,761.51842472362,652.38437115288
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2019,1747609.4994616588,2419724.4100571424,1251358.0101423908
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2019,0.0003087598703491,0.0004380965581855,0.0002215479980779
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2019,125.72814619805999,174.08206151340002,90.02636051918999
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2019,5413206.576288166,5910606.508891307,4988265.259024643
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2019,0.0009563364955345,0.0010705902496928,0.0008670356346268
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2019,389.44193656165,425.22634461419005,358.87041353035
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,1,Number,2018,2557756.872037311,2947207.8141081706,2211286.739101318
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,2,Percent,2018,0.0004517352061653,0.0005235878700862,0.0003865597912255
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2018,186.11067755181,214.44838998038,160.9003880606
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,1,Number,2019,2508886.0899162963,2884146.098953696,2168265.610439974
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,2,Percent,2019,0.0004432334222265,0.0005127630262006,0.0003808627674181
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2019,180.49661392001002,207.49391811931,155.99137893769
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,1,Number,2017,2605372.006665443,3009136.8369085286,2257893.3159926604
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,2,Percent,2017,0.0004589874456828,0.0005352105298175,0.0003938086394408
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2017,191.84316966026,221.57386632585,166.25702947087
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2020,1480205.175734917,2083432.4447476144,1042029.062023529
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2020,0.0002448264952167,0.0003473918183592,0.0001691215914596
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2020,105.38553210734001,148.33324487628002,74.18889554831
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2021,4887917.943457468,5955178.41366886,3992172.3489377047
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2021,0.000728622959174,0.0008963006664753,0.0006068140541762
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2021,344.81088940388,420.09918929274994,281.62185090143
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2020,4426720.474544956,4893721.355820681,4029246.970100369
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2020,0.000732182173435,0.0008110981835301,0.0006616660130474
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2020,315.16731622613,348.4161773804,286.86856585615004
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2021,1999365.6028918887,2816554.0580141144,1437356.471008752
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2021,0.0002978916737266,0.0004161034894951,0.0002147379167421
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2021,141.04226784319,198.68960997962,101.39617090387999
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,1,Number,2021,2397842.7484406945,2742297.641432847,2077957.639987154
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,2,Percent,2021,0.0003574945739451,0.000411559845234,0.0003067954771798
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2021,169.15224443306002,193.45130169754,146.58642601531
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,1,Number,2020,2458696.42189995,2824978.4229195747,2133570.837633798
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,2,Percent,2020,0.0004066681842157,0.0004702626632522,0.0003489520708601
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2020,175.05075307124,201.12877536949,151.90292649876
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2022,2302977.471522147,3160080.1598228253,1580739.5074014482
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2022,0.0003107192865,0.0004352986124231,0.000203331843766
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2022,161.00945476171,220.93259262327,110.51519580813999
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2022,3453184.817258124,3940612.359477404,2975888.728671169
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2022,0.0004655931153226,0.0005336820597615,0.000392107607423
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2022,241.4245955479,275.50241167030003,208.05510586179
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2023,4477005.272190837,8773602.217356747,1206614.1814961578
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2023,0.0006766715270586,0.0013278306570954,0.0001749308447162
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2023,310.17399324249,607.84901277255,83.59613541275
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,1,Number,2022,2331303.445936004,2656334.132947185,2013305.521590843
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,2,Percent,2022,0.000314503747223,0.0003751378186055,0.0002611822827612
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2022,162.98982571729,185.71389242816,140.75744478986
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,1,Number,2023,2224866.9036005875,2540906.6924997084,1921948.616129618
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,2,Percent,2023,0.0003364121768747,0.0004053778253426,0.00026682625697
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2023,154.14229154685,176.03802706346,133.1556343645
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2023,2707791.9347269824,3748826.214987985,1895466.3237953428
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2023,0.000409681800986,0.0005833914870609,0.0002774909583038
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2023,187.6001001118,259.72459856093,131.32089934318
